source_row,source_numero,sede,dependencia,subdependencia,marca,modelo,tipo_impresora,serie,codigo_inventario,codigo_patrimonial,tipo_conexion,ip,hostname_origen,modelo_toner_negro,modelo_toner_c,modelo_toner_m,modelo_toner_y,estado,status,observaciones
119,61,Sede Central,Direccion de Recursos Geneticos y Biotecnologia,,ZEBRA,ZTA10,Impresora etiquetadora,18J162200396,202410409,74083200-0002,USB,,,,,,,Activa,IMPORTAR,
120,65,Sede Central,Direccion de Recursos Geneticos y Biotecnologia,Subdireccion de Recursos Geneticos,HP,LASERTJET PRO MFP 4103FDW,Impresora laser,BRBSQ7W0C9,202410032,74222358-0354,USB,,,"W1510A
W1510X
12 MESES",,,,Activa,IMPORTAR,
121,67,Sede Central,Direccion de Recursos Geneticos y Biotecnologia,,ZEBRA,ZT410,Impresora etiquetadora,18J162800909,202410714,740832000061,USB,,,,,,,Activa,IMPORTAR,
122,70,Sede Central,Direccion de Recursos Geneticos y Biotecnologia,Subdireccion de Recursos Geneticos,ZEBRA,ZT411,Impresora etiquetadora,99N230501794,202410288,74083200-0090,USB,,,,,,,Activa,IMPORTAR,
123,71,Sede Central,Direccion de Recursos Geneticos y Biotecnologia,Subdireccion de Recursos Geneticos,ZEBRA,ZT410,Impresora etiquetadora,18J1516000347,202410138,,USB,,,,,,,Activa,IMPORTAR,
124,73,Sede Central,Direccion de Recursos Geneticos y Biotecnologia,Subdireccion de Biotecnologia,HP,LASERJET 400 MFP M425DN,Impresora laser,CNF8H7R3MH,202411929,74222358-0167,USB,,,,,,,Activa,IMPORTAR,
125,75,Sede Central,Direccion de Recursos Geneticos y Biotecnologia,,HP,HP DESKJET INK ADVANTAGE 2135,Impresora laser,F5S2880025,202410846,74083650-0068,USB,,,,,,,Activa,IMPORTAR,
126,76,Sede Central,Direccion de Recursos Geneticos y Biotecnologia,,HP,LASERJET PRO 400 MFP M425DN,Impresora laser,CNF8H7R3M8,202410829,74222358-0031,USB,,,,,,,Activa,IMPORTAR,
127,79,Sede Central,Oficina de Gestion de Recursos Humanos,,ZEBRA,ZC32,Impresora etiquetadora,ZC300,202405766,952246270003,USB,,,,,,,Activa,IMPORTAR,
128,81,Sede Central,Oficina de Gestion de Recursos Humanos,,HP,HP DIGITAL SENDER FLOW 8500 FN2,Escaner,CNN3KAN002,202406017,74080050-0090,USB,,,,,,,Activa,IMPORTAR,
129,13,Sede Central,Gerencia General,Unidad de Comunicaciones e Imagen Institucional,KYOCERA,TASKALFA 7004I,Fotocopiadora multifuncional,H6H3900265,202419887,74222358-0370,IP,172.16.23.131,KM0900265,,,,,Activa,IMPORTAR,
130,128,Sede Central,Oficina de Planeamiento y Presupuesto,Unidad de Presupuesto,KYOCERA,TASKALFA 7004I,Fotocopiadora multifuncional,H6H3900282,,,IP,172.16.23.132,KM09CB38,,,,,Activa,IMPORTAR,
131,125,Sede Central,Oficina de Planeamiento y Presupuesto,Unidad de Planeamiento y Modernizacion,KYOCERA,TASKALFA 7004I,Fotocopiadora multifuncional,H6H3900312,202416314,74222358-0379,IP,172.16.23.133,KM01B5DF,,,,,Activa,IMPORTAR,
132,16,Sede Central,Gerencia General,Unidad de Atencion al Ciudadano y Gestion Documental,KYOCERA,TASKALFA 7004I,Fotocopiadora multifuncional,H6H3900272,202415466,74222358-0372,IP,172.16.23.134,KM01B5E3,,,,,Activa,IMPORTAR,
133,100,Sede Central,Oficina de Administracion,Unidad de Tesoreria,EPSON,LQ-2090II,Impresora matricial,X4S3000093,202406482,74084550-0023,USB,,,,,,,Activa,IMPORTAR,Tipo conexion PUERTO PARALELO normalizado a USB
134,101,Sede Central,Oficina de Administracion,Unidad de Tesoreria,EPSON,LQ-2090II,Impresora matricial,X4S3000178,202406474,74084550-0024,USB,,,,,,,Activa,IMPORTAR,Tipo conexion PUERTO PARALELO normalizado a USB
135,102,Sede Central,Oficina de Administracion,Unidad de Tesoreria,EPSON,LQ-2090II,Impresora matricial,X4SS0001S1,202406491,74084550-0025,USB,,,,,,,Activa,IMPORTAR,Tipo conexion PUERTO PARALELO normalizado a USB
136,104,Sede Central,Oficina de Administracion,Unidad de Abastecimiento,TSC,TE200,Impresora etiquetadora,TEA23271721,202414929,74083200-0094,USB,,,Cinta Térmica de Impresión,,,,Activa,IMPORTAR,
137,106,Sede Central,Oficina de Administracion,Unidad de Abastecimiento,ZEBRA,ZD230,Impresora etiquetadora,D5N233100266,202428906,74082875-0002,USB,,,Cinta Térmica de Impresión,,,,Activa,IMPORTAR,
138,108,Sede Central,Oficina de Administracion,Unidad de Abastecimiento,ZEBRA,ZD230,Impresora etiquetadora,D5N232100370,202426619,74083875-0004,USB,,,Cinta Térmica de Impresión,,,,Activa,IMPORTAR,
139,110,Sede Central,Oficina de Administracion,Unidad de Abastecimiento,HP,HP DESIGNJET T830,Impresora plotter,CN8CB7M014,202414966,74085000005,USB,,,HP F9J68A Negro,HP F9J67A Cian,HP F9J66A Magenta,HP F9J65A Amarillo,Activa,IMPORTAR,
140,86,Sede Central,Oficina de Administracion,Unidad de Abastecimiento,KYOCERA,TASKALFA 7004I,Fotocopiadora multifuncional,H6H3900241,202406652,74222358-0361,IP,172.16.23.135,KM09CB19,TK-6347,,,,Activa,IMPORTAR,
141,112,Sede Central,Oficina de Administracion,Unidad de Abastecimiento,HP,LASERJET MFP M426DW,Impresora laser,BRBSHB183B,202406921,,USB,,,CF226XD / CF226X,,,,En mantenimiento,IMPORTAR,
142,85,Sede Central,Oficina de Administracion,Unidad de Abastecimiento,KYOCERA,TASKALFA 7004I,Fotocopiadora multifuncional,H6H3900233,202406177,74222358-0359,IP,172.16.23.136,KM09CB27,TK-6347,,,,Activa,IMPORTAR,
143,127,Sede Central,Oficina de Planeamiento y Presupuesto,Unidad de Cooperacion Tecnica y Financiera,KYOCERA,TASKALFA 7004I,Fotocopiadora multifuncional,H6H3900297,202416219,74222358-0375,IP,172.16.23.138,KM09CB35,,,,,Activa,IMPORTAR,
144,119,Sede Central,Oficina de Administracion,Unidad de Abastecimiento,ZEBRA,ZD230,Impresora etiquetadora,D5N233100419,202404211,74083875-0003,USB,,,Cinta Térmica de Impresión,,,,Activa,IMPORTAR,
145,120,Sede Central,Oficina de Administracion,Unidad de Abastecimiento,TSC,TTP-247,Impresora etiquetadora,T4519270736,202414903,740832000078,USB,,,Cinta Térmica de Impresión,,,,Activa,IMPORTAR,
146,121,Sede Central,Oficina de Administracion,Unidad de Abastecimiento,HP,HP DESINGJET T730,Impresora plotter,CN98M7M0FK,202414970,74085000-0002,USB,,,HP F9J68A Negro,HP F9J67A Cian,HP F9J66A Magenta,HP F9J65A Amarillo,Activa,IMPORTAR,
148,136,Sede Central,Direccion de Investigacion y Desarrollo Tecnologico,,BROTHER,DCP-T820DW,Impresora de inyeccion a color,U66055B2H595949,202407763,74222358-0283,USB,,,,,,,Activa,IMPORTAR,
149,139,Sede Central,Direccion de Investigacion y Desarrollo Tecnologico,,HP,COLOR LASERJET PRO MFP M180NW,Impresora laser,VNC3201222,202408120,74222358-0160,USB,,,,,,,Activa,IMPORTAR,
150,140,Sede Central,Direccion de Investigacion y Desarrollo Tecnologico,,EPSON,L4160,Impresora de inyeccion a color,X4DW094160,202408399,,USB,,,,,,,Activa,IMPORTAR,
151,80,Sede Central,Oficina de Gestion de Recursos Humanos,,KYOCERA,TASKALFA 7004I,Fotocopiadora multifuncional,H6H3900163,202405989,74222358-0355,IP,172.16.23.139,KM09CB42,,,,,Activa,IMPORTAR,
152,142,Sede Central,Direccion de Investigacion y Desarrollo Tecnologico,,HP,F6W15A,Impresora de inyeccion a color,BRBSHB183D,202407814,740836500030,USB,,,,,,,En mantenimiento,IMPORTAR,
153,143,Sede Central,Direccion de Investigacion y Desarrollo Tecnologico,,HP,LASERT JET P2055DN,Impresora laser,CNCGC06577,202415189,,USB,,,,,,,Activa,IMPORTAR,
154,129,Sede Central,Oficina de Planeamiento y Presupuesto,Unidad de Inversiones,KYOCERA,TASKALFA 7004I,Fotocopiadora multifuncional,H6H3900298,202416053,74222358-0376,IP,172.16.23.140,KM097341,,,,,Activa,IMPORTAR,
155,146,Sede Central,Direccion de Investigacion y Desarrollo Tecnologico,Subdireccion de Productos Agrarios,HP,HP SCANJET 5590,Escaner,CN085VH01X,202415112,,USB,,,,,,,En mantenimiento,IMPORTAR,
156,149,Sede Central,Direccion de Investigacion y Desarrollo Tecnologico,Subdireccion de Investigacion y Liberacion de Tecnologias,EPSON,L6171,Impresora de inyeccion a color,,202408778,74083650-0071,USB,,,,,,,Activa,IMPORTAR,
157,150,Sede Central,Direccion de Investigacion y Desarrollo Tecnologico,Subdireccion de Investigacion y Liberacion de Tecnologias,HP,HP SCANJET G3110,Escaner,CN09RA50JP,202409128,,USB,,,,,,,Activa,IMPORTAR,
158,151,Sede Central,Direccion de Investigacion y Desarrollo Tecnologico,Subdireccion de Investigacion y Liberacion de Tecnologias,CANON,PIXMA TS6010,Impresora de inyeccion a color,AERU00024,202408763,,USB,,,,,,,Activa,IMPORTAR,
159,152,Sede Central,Direccion de Investigacion y Desarrollo Tecnologico,Subdireccion de Investigacion y Liberacion de Tecnologias,EPSON,L5190,Impresora de inyeccion a color,X5NS041355,202408538,,USB,,,,,,,Activa,IMPORTAR,
160,153,Sede Central,Direccion de Investigacion y Desarrollo Tecnologico,Subdireccion de Investigacion y Liberacion de Tecnologias,HP,HP LASERJET P2055DN,Impresora laser,CNCGB02720,202408761,,USB,,,,,,,Activa,IMPORTAR,
161,154,Sede Central,Direccion de Investigacion y Desarrollo Tecnologico,Subdireccion de Investigacion y Liberacion de Tecnologias,EPSON,L4260,Impresora de inyeccion a color,,202421330,742223580400,USB,,,,,,,Activa,IMPORTAR,
162,155,Sede Central,Direccion de Investigacion y Desarrollo Tecnologico,Subdireccion de Investigacion y Liberacion de Tecnologias,HP,LASERJET PRO 400 MFP M425DN,Impresora laser,CNF8GD374K,202408790,,USB,,,,,,,Activa,IMPORTAR,
163,157,Sede Central,Direccion de Investigacion y Desarrollo Tecnologico,Subdireccion de Investigacion y Liberacion de Tecnologias,EPSON,L5190,Impresora de inyeccion a color,,202408786,74083650-0054,USB,,,,,,,Activa,IMPORTAR,
164,159,Sede Central,Direccion de Investigacion y Desarrollo Tecnologico,Subdireccion de Investigacion y Liberacion de Tecnologias,EPSON,L395,Impresora de inyeccion a color,X2P6298822,202408429,,USB,,,,,,,Activa,IMPORTAR,
165,160,Sede Central,Direccion de Investigacion y Desarrollo Tecnologico,,BROTHER,DCP-T820DW,Impresora de inyeccion a color,U66055J1H376466,,,USB,,,,,,,Activa,IMPORTAR,
166,183,Sede Central,Direccion Ejecutiva PRED,,KYOCERA,TASKALFA 7004I,Fotocopiadora multifuncional,H6H4900810,,,IP,172.16.23.171,KM15432C,,,,,Activa,IMPORTAR,
167,64,Sede Central,Direccion de Recursos Geneticos y Biotecnologia,Subdireccion de Recursos Geneticos,KYOCERA,TASKALFA 8353CI,Fotocopiadora multifuncional,RTW0Y00009,202410208,74222358-0380,IP,172.16.23.143,,,,,,Activa,IMPORTAR,
168,165,Sede Central,Direccion de Servicios Estrategicos Agrarios,,HP,HP SCANJET 5590,Escaner,CN35HWH0V2,202409485,,USB,,,,,,,En mantenimiento,IMPORTAR,
169,166,Sede Central,Direccion de Servicios Estrategicos Agrarios,,HP,HP LASERJET P3015,Impresora laser,BRBSF2VL1Z,202409519,,USB,,,,,,,Activa,IMPORTAR,
170,167,Sede Central,Gerencia General,Unidad de Atencion al Ciudadano y Gestion Documental,FUJITSU,FI-6800,Escaner,A9ECC01748,202415448,74080050-0088,USB,,,,,,,Activa,IMPORTAR,
171,168,Sede Central,Direccion de Investigacion y Desarrollo Tecnologico,Subdireccion de Investigacion y Liberacion de Tecnologias,HP,LASERJET PRO M402DNE,Impresora laser,BRBSM3X9TV,202409749,74084100-0240,USB,,,,,,,En mantenimiento,IMPORTAR,
172,169,Sede Central,Direccion de Investigacion y Desarrollo Tecnologico,Subdireccion de Investigacion y Liberacion de Tecnologias,HP,HP DESIGNJET T830 MFP,Impresora plotter,CN9AN8M06B,202412580,74085000-0003,USB,,,,,,,En mantenimiento,IMPORTAR,
173,170,Sede Central,Direccion de Investigacion y Desarrollo Tecnologico,Subdireccion de Investigacion y Liberacion de Tecnologias,HP,COLOR LASERJET PRO MFP M277DW,Impresora laser,VNBKK5C92L,202412661,74222358-0246,USB,,,,,,,En mantenimiento,IMPORTAR,
174,1,Sede Central,Presidencia Ejecutiva,,KYOCERA,TASKASLFA 3553CI,Fotocopiadora multifuncional,RMZ9300005,202415412,742222358-0154,IP,172.16.23.70,KM89151E,,,,,Activa,IMPORTAR,
175,115,Sede Central,Oficina de Administracion,Unidad de Abastecimiento,XEROX,VERSALINK C405,Impresora multifuncional laser a color,3356628020,202406130,74223580-0256,USB,,,Tóner Negro,Tóner Cyan,,Tóner Amarillo,En mantenimiento,IMPORTAR,
176,173,Sede Central,Direccion de Investigacion y Desarrollo Tecnologico,Subdireccion de Investigacion y Liberacion de Tecnologias,HP,HP SCANJET G3110,Escaner,CN09RA50HM,202412702,740800500042,USB,,,,,,,En mantenimiento,IMPORTAR,
177,174,Sede Central,Direccion de Investigacion y Desarrollo Tecnologico,Subdireccion de Investigacion y Liberacion de Tecnologias,HP,HP SCANJET G3110,Escaner,CN09RA50J5,202412703,740800500040,USB,,,,,,,En mantenimiento,IMPORTAR,
178,175,Sede Central,Direccion de Investigacion y Desarrollo Tecnologico,Subdireccion de Investigacion y Liberacion de Tecnologias,HP,HP LASERJET P1006,Impresora laser,VNF3B51141,202412699,740841000157,USB,,,,,,,En mantenimiento,IMPORTAR,
179,176,Sede Central,Direccion de Investigacion y Desarrollo Tecnologico,,HP,HP SMART TANK 580,Impresora de inyeccion a color,1F3Y2-80030,202407359,,USB,,,,,,,Activa,IMPORTAR,
180,178,Sede Central,Direccion de Investigacion y Desarrollo Tecnologico,,HP,1536,Impresora laser,CNC9C2KBYX,,740841000187,USB,,,,,,,En mantenimiento,IMPORTAR,
181,14,Sede Central,Gerencia General,Unidad de Comunicaciones e Imagen Institucional,XEROX,VERSALINK C700,Fotocopiadora multifuncional,AIUE041108781,202412436,,IP,172.16.23.40,,,,,,Activa,IMPORTAR,
182,181,Sede Central,Oficina de Control Institucional,,HP,LASERJET PRO 400 MFP M425DN,Impresora multifuncional laser,CND8F47395,202411247,,USB,,,,,,,Activa,IMPORTAR,
184,183,Sede Central,Direccion de Servicios Estrategicos Agrarios,Subdireccion de Extension Agropecuario,EPSON,COLORWORKS C6500AU,Impresora etiquetadora color,X7F4009437,,675010060001,IP,172.16.23.174,,,,,,En mantenimiento,IMPORTAR,Estado vacio: asignado En mantenimiento
