source_row,source_numero,sede,dependencia,subdependencia,marca,modelo,tipo_impresora,serie,codigo_inventario,codigo_patrimonial,tipo_conexion,ip,hostname_origen,modelo_toner_negro,modelo_toner_c,modelo_toner_m,modelo_toner_y,estado,status,observaciones
28,138,Sede Central,Direccion de Investigacion y Desarrollo Tecnologico,,KONICA MINOLTA,BIZHUB 658E,Fotocopiadora multifuncional,AA6R041001576,202408106,74222358-0156,IP,172.16.23.168,,,,,,Activa,IMPORTAR,
29,95,Sede Central,Oficina de Administracion,Unidad de Contabilidad,KONICA MINOLTA,BIZHUB 658E,Fotocopiadora multifuncional,AA6R041000999,202406290,74222358-0153,IP,172.16.23.28,,,,,,Activa,IMPORTAR,
30,84,Sede Central,Oficina de Administracion,Unidad de Abastecimiento,KONICA MINOLTA,BIZHUB 658E,Fotocopiadora multifuncional,AA6R041001023,202406653,74222358-0152,IP,172.16.23.29,,TN-516,,,,Activa,IMPORTAR,
31,148,Sede Central,Direccion de Investigacion y Desarrollo Tecnologico,Subdireccion de Productos Agrarios,KONICA MINOLTA,BIZHUB 658E,Fotocopiadora multifuncional,AA6R041001479,202408581,74222358-0157,IP,172.16.23.37,,,,,,Activa,IMPORTAR,
32,91,Sede Central,Oficina de Administracion,Unidad de Contabilidad,KONICA MINOLTA,BIZHUB 658E,Fotocopiadora multifuncional,AA6R041000907,202409196,74222358-0151,IP,172.16.23.73,,,,,,Activa,IMPORTAR,
33,141,Sede Central,Direccion de Investigacion y Desarrollo Tecnologico,,KONICA MINOLTA,BIZHUB 658E,Fotocopiadora multifuncional,AA6R041001586,202408914,74222358-0155,USB,,,,,,,En mantenimiento,IMPORTAR,
34,171,Sede Central,Direccion de Investigacion y Desarrollo Tecnologico,Subdireccion de Investigacion y Liberacion de Tecnologias,KONICA MINOLTA,BIZHUB C266,Fotocopiadora multifuncional,A90G041000609,202412706,,USB,,,,,,,En mantenimiento,IMPORTAR,
35,97,Sede Central,Oficina de Administracion,Unidad de Tesoreria,PANTUM,BM5100FDW,Impresora multifuncional,CL5N000054,202406388,74222358-0332,IP,172.16.23.109,,TL-5120X,,,,Activa,IMPORTAR,
36,131,Sede Central,Oficina de Planeamiento y Presupuesto,Unidad de Planeamiento y Modernizacion,PANTUM,BM5100FDW,Impresora multifuncional,CL5N000046,202416337,74222358-0342,IP,172.16.23.111,,TL-5120X,,,,Activa,IMPORTAR,
37,46,Sede Central,Direccion de Servicios Estrategicos Agrarios,,HP,LASERJET MANAGED FLOW MFP E826,Impresora laser,MXBCQC31QS,202405536,74222358-0381,IP,172.16.23.141,,,,,,Activa,IMPORTAR,
