source_row,source_numero,marca,modelo,excel_N,excel_SERIE,excel_COD_INVENTARIO,excel_COD_INV_2024,destino_serie,destino_codigo_inventario,destino_codigo_patrimonial
58,180,PANTUM,BM5100FDW,180,CL5N000095,74222358-0340,202411216,CL5N000095,74222358-0340,202411216
59,28,OKI,ES8473MFP,28,AL6C047522,74222358-0213,202412040,AL6C047522,74222358-0213,202412040
60,44,CANON,IMAGE RUNNER ADVANCE DX 6855I,44,35X00512,74222358-0316,202405275,35X00512,74222358-0316,202405275
61,55,CANON,IMAGEPRESS SERVER H350,55,A00089230,,202416442,A00089230,,202416442
62,98,CANON,IMAGERUNNER ADANCE DX 68701,98,4DQ00504,74222358-0297,202406520,4DQ00504,74222358-0297,202406520
63,50,CANON,IMAGERUNNER ADVANCE DX 6855I,50,35X00508,74222358-0315,202405396,35X00508,74222358-0315,202405396
64,135,CANON,IMAGERUNNER ADVANCE DX 6855I,135,35X00561,,202408868,35X00561,,202408868
65,49,CANON,IMAGERUNNER ADVANCE DX 6870I,49,3LY00530,74222358-0314,202405643,3LY00530,74222358-0314,202405643
66,68,CANON,IMAGERUNNER ADVANCE DX 6870I,68,3LY00532,74222358-0318,202410341,3LY00532,74222358-0318,202410341
67,161,CANON,IMAGERUNNER ADVANCE DX 6870I,161,4DQ00503,74222358-0310,202408940,4DQ00503,74222358-0310,202408940
68,90,CANON,IMAGERUNNER ADVANCE DX 6870I,90,ZBAB00241532,72222358-0296,202406659,ZBAB00241532,72222358-0296,202406659
69,114,KYOCERA,TASALFA7004I,114,H6H3900243,74222358-0362,202405040,H6H3900243,74222358-0362,202405040
70,38,KYOCERA,TASKALFA 306CI,38,VEV6400057,,202412473,VEV6400057,,202412473
71,26,KYOCERA,TASKALFA 6003I,26,RFQ0803836,74222358-0214,202412263,RFQ0803836,74222358-0214,202412263
72,27,KYOCERA,TASKALFA 6003I,27,RFQ0803839,,202412186,RFQ0803839,,202412186
74,40,KYOCERA,TASKALFA 6003I,40,RFQ0803841,74222358-0216,202412116,RFQ0803841,74222358-0216,202412116
75,107,HP,LASERJET PRO MFP 4103FDW,107,BRBSQD007P,74222358-0306,202414982,BRBSQD007P,74222358-0306,202414982
76,147,KYOCERA,TASKALFA 7003I,147,RU91100636,74222358-0280,202409160,RU91100636,74222358-0280,202409160
77,144,KYOCERA,TASKALFA 7004I,144,H6H3900254,74222358-0365,202415106,H6H3900254,74222358-0365,202415106
78,117,KYOCERA,TASKALFA 7004I,117,H6H3900257,74222358-0367,202408200,H6H3900257,74222358-0367,202408200
79,78,KYOCERA,TASKALFA 7004I,78,H6H3900222,74222358-0357,202405856,H6H3900222,74222358-0357,202405856
80,87,KYOCERA,TASKALFA 7004I,87,H6H3900224,74222358-0358,202406650,H6H3900224,74222358-0358,202406650
81,29,KYOCERA,TASKALFA 7004I,29,H6H3900256,74222358-0366,202412039,H6H3900256,74222358-0366,202412039
82,179,KYOCERA,TASKALFA 7004I,179,H6H3900253,74222358-0364,202411250,H6H3900253,74222358-0364,202411250
83,177,EPSON,L5190,177,X5NS036777,74083650-0058,202416745,X5NS036777,74083650-0058,202416745
84,94,KYOCERA,TASKALFA 7004I,94,H6H3900309,74222358-0378,202406291,H6H3900309,74222358-0378,202406291
85,158,HP,COLOR LASERJET PRO M452DW,158,,74084100-0244,202408414,,74084100-0244,202408414
86,93,KYOCERA,TASKALFA 7004I,93,H6H3900303,74222358-0377,202406411,H6H3900303,74222358-0377,202406411
87,99,KYOCERA,TASKALFA 7004I,99,H6H3900236,74222358-0360,202406519,H6H3900236,74222358-0360,202406519
88,6,KYOCERA,TASKALFA 7004I,6,H6H3900273,,202406733,H6H3900273,,202406733
89,105,KYOCERA,TASKALFA 7004I,105,H6H3900271,,,H6H3900271,,
90,12,FUJITSU,FI-6800,12,A9ECC01742,,202419647,A9ECC01742,,202419647
91,4,KYOCERA,TASKALFA 7004I,4,H6H3900166,,202415294,H6H3900166,,202415294
92,17,TSC,TE200,17,TEA22074619,74084043-0010,202419736,TEA22074619,74084043-0010,202419736
93,19,TSC,TE200,19,TEA22074627,74084043-0009,202419723,TEA22074627,74084043-0009,202419723
94,20,FUJITSU,FI-6800,20,,74080050-0085,202419724,,74080050-0085,202419724
95,21,TSC,TE200,21,TEA22074612,74084043-0007,202436151,TEA22074612,74084043-0007,202436151
96,22,TSC,TE200,22,TEA22074609,74084043-0001,202419710,TEA22074609,74084043-0001,202419710
97,23,FUJITSU,FI-7900,23,,,202419711,,,202419711
98,5,KYOCERA,TASKALFA 7004I,5,H6H3900250,,202415389,H6H3900250,,202415389
100,123,KYOCERA,TASKALFA 7004I,123,H6H3900261,74222358-0369,202414775,H6H3900261,74222358-0369,202414775
101,31,FUJITSU,FI-7900,31,C2WC000859,74080050-0092,202412147,C2WC000859,74080050-0092,202412147
102,33,HP,LASERJET PRO MFP M127FN,33,BRBSG7FVKZ,,202412379,BRBSG7FVKZ,,202412379
103,35,EPSON,L310,35,VHLK004899,,202411760,VHLK004899,,202411760
104,36,HP,HP LASERJET P1102W,36,BRBSB6BG1J,74084100-0125,202411762,BRBSB6BG1J,74084100-0125,202411762
105,37,HP,HP SCANJET 5590,37,CN35HW0V0,74080050-0037,202411766,CN35HW0V0,74080050-0037,202411766
106,130,KYOCERA,TASKALFA 7004I,130,H6H3900258,74222358-0368,202416182,H6H3900258,74222358-0368,202416182
107,42,HP,LASERJET PRO MFP M426FDW,42,BRBSHB182S,,202419527,BRBSHB182S,,202419527
108,43,HP,HP OFFICEJET PRO 251DW,43,CN4COCV020,740836500039,202419259,CN4COCV020,740836500039,202419259
109,45,HP,LASERTJET PRO MFP M426FDW,45,SRBSHBL81T,,202405496,SRBSHBL81T,,202405496
110,47,HP,LASERTJET PRO MFP M426FDW,47,BRBSHB1835,74084100-0104,202405561,BRBSHB1835,74084100-0104,202405561
111,52,HP,HP LASERJET 1536DNF MFP,52,CNB9B84B71,,202409098,CNB9B84B71,,202409098
112,53,HP,HP LASERJET 1536DNF MFP,53,CNB9B84B9R,,202409327,CNB9B84B9R,,202409327
113,54,CANON,IMAGEPRESS C810,54,2NY06022,67505880-0005,202416438,2NY06022,67505880-0005,202416438
114,56,HP,LASERJET PRO 400 MFP M425DN,56,CNF8H7W84D,740841000147,202416468,CNF8H7W84D,740841000147,202416468
115,57,HEIDELBERG,HEIDELBERG GTO,57,,67505880-0001,202416480,,67505880-0001,202416480
116,58,GM3,SFML-720,58,20103002,67506374-0001,202416486,20103002,67506374-0001,202416486
117,59,HP,HP DESINGJET T650,59,CN29L4M04T,74085000-0006,202405280,CN29L4M04T,74085000-0006,202405280
118,60,HP,LASERJET PRO MFP M426FDW,60,BRBSHB1831,74084100-0114,202410187,BRBSHB1831,74084100-0114,202410187
119,61,ZEBRA,ZTA10,61,18J162200396,74083200-0002,202410409,18J162200396,74083200-0002,202410409
120,65,HP,LASERTJET PRO MFP 4103FDW,65,BRBSQ7W0C9,74222358-0354,202410032,BRBSQ7W0C9,74222358-0354,202410032
121,67,ZEBRA,ZT410,67,18J162800909,740832000061,202410714,18J162800909,740832000061,202410714
122,70,ZEBRA,ZT411,70,99N230501794,74083200-0090,202410288,99N230501794,74083200-0090,202410288
123,71,ZEBRA,ZT410,71,18J1516000347,,202410138,18J1516000347,,202410138
124,73,HP,LASERJET 400 MFP M425DN,73,CNF8H7R3MH,74222358-0167,202411929,CNF8H7R3MH,74222358-0167,202411929
125,75,HP,HP DESKJET INK ADVANTAGE 2135,75,F5S2880025,74083650-0068,202410846,F5S2880025,74083650-0068,202410846
126,76,HP,LASERJET PRO 400 MFP M425DN,76,CNF8H7R3M8,74222358-0031,202410829,CNF8H7R3M8,74222358-0031,202410829
127,79,ZEBRA,ZC32,79,ZC300,952246270003,202405766,ZC300,952246270003,202405766
128,81,HP,HP DIGITAL SENDER FLOW 8500 FN2,81,CNN3KAN002,74080050-0090,202406017,CNN3KAN002,74080050-0090,202406017
129,13,KYOCERA,TASKALFA 7004I,13,H6H3900265,74222358-0370,202419887,H6H3900265,74222358-0370,202419887
130,128,KYOCERA,TASKALFA 7004I,128,H6H3900282,,,H6H3900282,,
131,125,KYOCERA,TASKALFA 7004I,125,H6H3900312,74222358-0379,202416314,H6H3900312,74222358-0379,202416314
132,16,KYOCERA,TASKALFA 7004I,16,H6H3900272,74222358-0372,202415466,H6H3900272,74222358-0372,202415466
133,100,EPSON,LQ-2090II,100,X4S3000093,74084550-0023,202406482,X4S3000093,74084550-0023,202406482
134,101,EPSON,LQ-2090II,101,X4S3000178,74084550-0024,202406474,X4S3000178,74084550-0024,202406474
135,102,EPSON,LQ-2090II,102,X4SS0001S1,74084550-0025,202406491,X4SS0001S1,74084550-0025,202406491
136,104,TSC,TE200,104,TEA23271721,74083200-0094,202414929,TEA23271721,74083200-0094,202414929
137,106,ZEBRA,ZD230,106,D5N233100266,74082875-0002,202428906,D5N233100266,74082875-0002,202428906
138,108,ZEBRA,ZD230,108,D5N232100370,74083875-0004,202426619,D5N232100370,74083875-0004,202426619
139,110,HP,HP DESIGNJET T830,110,CN8CB7M014,74085000005,202414966,CN8CB7M014,74085000005,202414966
140,86,KYOCERA,TASKALFA 7004I,86,H6H3900241,74222358-0361,202406652,H6H3900241,74222358-0361,202406652
141,112,HP,LASERJET MFP M426DW,112,BRBSHB183B,,202406921,BRBSHB183B,,202406921
142,85,KYOCERA,TASKALFA 7004I,85,H6H3900233,74222358-0359,202406177,H6H3900233,74222358-0359,202406177
143,127,KYOCERA,TASKALFA 7004I,127,H6H3900297,74222358-0375,202416219,H6H3900297,74222358-0375,202416219
144,119,ZEBRA,ZD230,119,D5N233100419,74083875-0003,202404211,D5N233100419,74083875-0003,202404211
145,120,TSC,TTP-247,120,T4519270736,740832000078,202414903,T4519270736,740832000078,202414903
146,121,HP,HP DESINGJET T730,121,CN98M7M0FK,74085000-0002,202414970,CN98M7M0FK,74085000-0002,202414970
148,136,BROTHER,DCP-T820DW,136,U66055B2H595949,74222358-0283,202407763,U66055B2H595949,74222358-0283,202407763
149,139,HP,COLOR LASERJET PRO MFP M180NW,139,VNC3201222,74222358-0160,202408120,VNC3201222,74222358-0160,202408120
150,140,EPSON,L4160,140,X4DW094160,,202408399,X4DW094160,,202408399
151,80,KYOCERA,TASKALFA 7004I,80,H6H3900163,74222358-0355,202405989,H6H3900163,74222358-0355,202405989
152,142,HP,F6W15A,142,BRBSHB183D,740836500030,202407814,BRBSHB183D,740836500030,202407814
153,143,HP,LASERT JET P2055DN,143,CNCGC06577,,202415189,CNCGC06577,,202415189
154,129,KYOCERA,TASKALFA 7004I,129,H6H3900298,74222358-0376,202416053,H6H3900298,74222358-0376,202416053
155,146,HP,HP SCANJET 5590,146,CN085VH01X,,202415112,CN085VH01X,,202415112
156,149,EPSON,L6171,149,,74083650-0071,202408778,,74083650-0071,202408778
157,150,HP,HP SCANJET G3110,150,CN09RA50JP,,202409128,CN09RA50JP,,202409128
158,151,CANON,PIXMA TS6010,151,AERU00024,,202408763,AERU00024,,202408763
159,152,EPSON,L5190,152,X5NS041355,,202408538,X5NS041355,,202408538
160,153,HP,HP LASERJET P2055DN,153,CNCGB02720,,202408761,CNCGB02720,,202408761
161,154,EPSON,L4260,154,,742223580400,202421330,,742223580400,202421330
162,155,HP,LASERJET PRO 400 MFP M425DN,155,CNF8GD374K,,202408790,CNF8GD374K,,202408790
163,157,EPSON,L5190,157,,74083650-0054,202408786,,74083650-0054,202408786
164,159,EPSON,L395,159,X2P6298822,,202408429,X2P6298822,,202408429
165,160,BROTHER,DCP-T820DW,160,U66055J1H376466,,,U66055J1H376466,,
166,183,KYOCERA,TASKALFA 7004I,183,H6H4900810,,,H6H4900810,,
167,64,KYOCERA,TASKALFA 8353CI,64,RTW0Y00009,74222358-0380,202410208,RTW0Y00009,74222358-0380,202410208
168,165,HP,HP SCANJET 5590,165,CN35HWH0V2,,202409485,CN35HWH0V2,,202409485
169,166,HP,HP LASERJET P3015,166,BRBSF2VL1Z,,202409519,BRBSF2VL1Z,,202409519
170,167,FUJITSU,FI-6800,167,A9ECC01748,74080050-0088,202415448,A9ECC01748,74080050-0088,202415448
171,168,HP,LASERJET PRO M402DNE,168,BRBSM3X9TV,74084100-0240,202409749,BRBSM3X9TV,74084100-0240,202409749
172,169,HP,HP DESIGNJET T830 MFP,169,CN9AN8M06B,74085000-0003,202412580,CN9AN8M06B,74085000-0003,202412580
173,170,HP,COLOR LASERJET PRO MFP M277DW,170,VNBKK5C92L,74222358-0246,202412661,VNBKK5C92L,74222358-0246,202412661
174,1,KYOCERA,TASKASLFA 3553CI,1,RMZ9300005,742222358-0154,202415412,RMZ9300005,742222358-0154,202415412
175,115,XEROX,VERSALINK C405,115,3356628020,74223580-0256,202406130,3356628020,74223580-0256,202406130
176,173,HP,HP SCANJET G3110,173,CN09RA50HM,740800500042,202412702,CN09RA50HM,740800500042,202412702
177,174,HP,HP SCANJET G3110,174,CN09RA50J5,740800500040,202412703,CN09RA50J5,740800500040,202412703
178,175,HP,HP LASERJET P1006,175,VNF3B51141,740841000157,202412699,VNF3B51141,740841000157,202412699
179,176,HP,HP SMART TANK 580,176,1F3Y2-80030,,202407359,1F3Y2-80030,,202407359
180,178,HP,1536,178,CNC9C2KBYX,740841000187,,CNC9C2KBYX,740841000187,
181,14,XEROX,VERSALINK C700,14,AIUE041108781,,202412436,AIUE041108781,,202412436
182,181,HP,LASERJET PRO 400 MFP M425DN,181,CND8F47395,,202411247,CND8F47395,,202411247
184,183,EPSON,COLORWORKS C6500AU,183,X7F4009437,675010060001,,X7F4009437,675010060001,
