computer_id,name,serial_kept,otherserial_cleared,fecha_backup
648,DGIA-002,8CG92523P1,8CG92523P1,2026-07-09T20:07:35.566773
681,SDILTE-021,MXL5323F3K,MXL5323F3K,2026-07-09T20:07:35.566775
685,SDILTE-026,MXL9022PFV,MXL9022PFV,2026-07-09T20:07:35.566776
728,DIDET-035,8CG92523T9,8CG92523T9,2026-07-09T20:07:35.566778
737,SDPA-018,5CD012G2V5,5CD012G2V5,2026-07-09T20:07:35.566780
741,DIDET-050,5CD012G2SJ,5CD012G2SJ,2026-07-09T20:07:35.566781
760,DRGB09,MXL5362Q4H,MXL5362Q4H,2026-07-09T20:07:35.566783
780,SDRG-034,8CG92523MS,8CG92523MS,2026-07-09T20:07:35.566784
781,SDB-001,8CC84137GL,8CC84137GL,2026-07-09T20:07:35.566785
787,SDRG-028,MXL5323GYP,MXL5323GYP,2026-07-09T20:07:35.566786
792,SDB-017,8CC6100M5T,8CC6100M5T,2026-07-09T20:07:35.566788
796,SDB-019,8CC9221XQ5,8CC9221XQ5,2026-07-09T20:07:35.566789
802,SDB-026,MXL5323DXJ,MXL5323DXJ,2026-07-09T20:07:35.566790
808,SDB-004,5CD012G2TZ,5CD012G2TZ,2026-07-09T20:07:35.566791
820,LECOLEC-HMVN1S4,MXL5283ZXZ,MXL5283ZXZ,2026-07-09T20:07:35.566793
823,DSEA-065,MXL7362P15,MXL7362P15,2026-07-09T20:07:35.566794
832,SDRG-021,5CD012G2Q9,5CD012G2Q9,2026-07-09T20:07:35.566795
842,DESKTOP-Q6GUAS5,MXL33022FM,MXL33022FM,2026-07-09T20:07:35.566796
844,SantaAna-009,MXL5323H2H,MXL5323H2H,2026-07-09T20:07:35.566798
866,PICHANAKI-003,MXL5370KFD,MXL5370KFD,2026-07-09T20:07:35.566799
868,PCHNK-ADM002,MXL5362PH6,MXL5362PH6,2026-07-09T20:07:35.566800
869,PICHANAKI-002,MXL35113YJ,MXL35113YJ,2026-07-09T20:07:35.566801
871,SDB-014,MXL5250ZV7,MXL5250ZV7,2026-07-09T20:07:35.566803
881,PCHK-LABSAF007,MXL5394G7C,MXL5394G7C,2026-07-09T20:07:35.566804
901,PORVENIR-002,MXL4461MC8,MXL4461MC8,2026-07-09T20:07:35.566805
907,BANINCA-004,5CG62510GN,5CG62510GN,2026-07-09T20:07:35.566807
912,PORVENIR-005,MXL32438YV,MXL32438YV,2026-07-09T20:07:35.566808
921,DESKTOP-B5SJ4P4,MXL5510N5B,MXL5510N5B,2026-07-09T20:07:35.566809
922,EEA-DONOSO-14,MXL5323GYB,MXL5323GYB,2026-07-09T20:07:35.566810
923,EEACANCHAN-001,5CD012G2RW,5CD012G2RW,2026-07-09T20:07:35.566812
935,EEADONOSO-007,MXL5323HPV,MXL5323HPV,2026-07-09T20:07:35.566813
943,ILLPA-006,8CC91747TS,8CC91747TS,2026-07-09T20:07:35.566814
945,PUCALLPA-003,MXL5370JY8,MXL5370JY8,2026-07-09T20:07:35.566815
958,PORVENIR-011,5CD6060CYV,5CD6060CYV,2026-07-09T20:07:35.566817
959,EEASANTAANA-012,MXL5510NR0,MXL5510NR0,2026-07-09T20:07:35.566818
